Filename,Teacher_Width,Position_mm,SegmentStart,SegmentEnd,SegmentLen
-106.csv,20.942348,214.3,2041,4091,2048
-106.csv,20.942348,214.3,4092,6142,2048
-106.csv,20.942348,214.3,7813,9863,2048
-106.csv,20.942348,214.3,9864,11914,2048
-106.csv,20.942348,214.3,11915,13965,2048
-106.csv,20.942348,214.3,13966,16016,2048
-106.csv,20.942348,214.3,16017,18067,2048
-107.csv,20.950413,214.2,468,2518,2048
-107.csv,20.950413,214.2,2519,4569,2048
-107.csv,20.950413,214.2,4570,6620,2048
-107.csv,20.950413,214.2,6621,8671,2048
-107.csv,20.950413,214.2,8672,10722,2048
-107.csv,20.950413,214.2,10723,12773,2048
-107.csv,20.950413,214.2,12774,14824,2048
-107.csv,20.950413,214.2,14825,16875,2048
-107.csv,20.950413,214.2,16876,18926,2048
-108.csv,20.97925,214.1,582,2632,2048
-108.csv,20.97925,214.1,2633,4683,2048
-108.csv,20.97925,214.1,4684,6734,2048
-108.csv,20.97925,214.1,6735,8785,2048
-108.csv,20.97925,214.1,8786,10836,2048
-108.csv,20.97925,214.1,10837,13343,2048
-108.csv,20.97925,214.1,13344,15394,2048
-108.csv,20.97925,214.1,15395,17445,2048
-108.csv,20.97925,214.1,17446,19496,2048
-109.csv,20.982286,214.0,1196,3246,2048
-109.csv,20.982286,214.0,3247,5297,2048
-109.csv,20.982286,214.0,5298,7348,2048
-109.csv,20.982286,214.0,7349,9399,2048
-109.csv,20.982286,214.0,9400,11450,2048
-109.csv,20.982286,214.0,11451,13501,2048
-109.csv,20.982286,214.0,13502,15552,2048
-109.csv,20.982286,214.0,15553,17603,2048
-109.csv,20.982286,214.0,17604,19654,2048
-11.csv,19.42557,223.8,351,2401,2048
-11.csv,19.42557,223.8,2402,4452,2048
-11.csv,19.42557,223.8,4453,6503,2048
-11.csv,19.42557,223.8,6504,8554,2048
-11.csv,19.42557,223.8,8555,10605,2048
-11.csv,19.42557,223.8,10606,12656,2048
-11.csv,19.42557,223.8,12657,14707,2048
-11.csv,19.42557,223.8,14708,16758,2048
-11.csv,19.42557,223.8,16759,18809,2048
-110.csv,20.996368,213.9,991,3041,2048
-110.csv,20.996368,213.9,3042,5092,2048
-110.csv,20.996368,213.9,5093,7143,2048
-110.csv,20.996368,213.9,7144,9194,2048
-110.csv,20.996368,213.9,9195,11245,2048
-110.csv,20.996368,213.9,11246,13296,2048
-110.csv,20.996368,213.9,13297,15347,2048
-110.csv,20.996368,213.9,15348,17398,2048
-110.csv,20.996368,213.9,17399,19449,2048
-111.csv,20.997412,213.8,1928,3978,2048
-111.csv,20.997412,213.8,3979,6029,2048
-111.csv,20.997412,213.8,6030,8080,2048
-111.csv,20.997412,213.8,8081,10131,2048
-111.csv,20.997412,213.8,10132,12719,2048
-111.csv,20.997412,213.8,12720,14770,2048
-111.csv,20.997412,213.8,14771,16821,2048
-111.csv,20.997412,213.8,16822,18872,2048
-112.csv,21.033241,213.7,235,2285,2048
-112.csv,21.033241,213.7,2286,4336,2048
-112.csv,21.033241,213.7,4337,6387,2048
-112.csv,21.033241,213.7,6388,8438,2048
-112.csv,21.033241,213.7,8439,10489,2048
-112.csv,21.033241,213.7,10490,12540,2048
-112.csv,21.033241,213.7,12541,14591,2048
-112.csv,21.033241,213.7,14592,16642,2048
-112.csv,21.033241,213.7,16643,18693,2048
-113.csv,21.041862,213.6,775,2825,2048
-113.csv,21.041862,213.6,2826,4876,2048
-113.csv,21.041862,213.6,4877,6927,2048
-113.csv,21.041862,213.6,6928,8978,2048
-113.csv,21.041862,213.6,8979,11029,2048
-113.csv,21.041862,213.6,11030,13080,2048
-113.csv,21.041862,213.6,13081,15131,2048
-113.csv,21.041862,213.6,15132,17182,2048
-113.csv,21.041862,213.6,17183,19233,2048
-114.csv,21.071547,213.5,439,2489,2048
-114.csv,21.071547,213.5,2490,4540,2048
-114.csv,21.071547,213.5,4541,6591,2048
-114.csv,21.071547,213.5,6592,8642,2048
-114.csv,21.071547,213.5,8643,10693,2048
-114.csv,21.071547,213.5,10694,12744,2048
-114.csv,21.071547,213.5,14299,16349,2048
-114.csv,21.071547,213.5,16350,18400,2048
-115.csv,21.075045,213.4,1075,3125,2048
-115.csv,21.075045,213.4,3126,5176,2048
-115.csv,21.075045,213.4,5177,7227,2048
-115.csv,21.075045,213.4,7228,9278,2048
-115.csv,21.075045,213.4,9279,11329,2048
-115.csv,21.075045,213.4,11330,13380,2048
-115.csv,21.075045,213.4,13381,15431,2048
-115.csv,21.075045,213.4,15432,17482,2048
-115.csv,21.075045,213.4,17483,19533,2048
-116.csv,21.094944,213.3,884,2934,2048
-116.csv,21.094944,213.3,2935,4985,2048
-116.csv,21.094944,213.3,4986,7036,2048
-116.csv,21.094944,213.3,7037,9087,2048
-116.csv,21.094944,213.3,9088,11138,2048
-116.csv,21.094944,213.3,11139,13189,2048
-116.csv,21.094944,213.3,13190,15240,2048
-116.csv,21.094944,213.3,15241,17291,2048
-116.csv,21.094944,213.3,17292,19342,2048
-117.csv,21.129047,213.2,97,2147,2048
-117.csv,21.129047,213.2,2148,4198,2048
-117.csv,21.129047,213.2,4199,6249,2048
-117.csv,21.129047,213.2,6250,8300,2048
-117.csv,21.129047,213.2,8301,10351,2048
-117.csv,21.129047,213.2,10352,12402,2048
-117.csv,21.129047,213.2,12403,14750,2048
-117.csv,21.129047,213.2,14751,16801,2048
-117.csv,21.129047,213.2,16802,18852,2048
-118.csv,21.130705,213.1,22,2072,2048
-118.csv,21.130705,213.1,2073,4123,2048
-118.csv,21.130705,213.1,4124,6174,2048
-118.csv,21.130705,213.1,6175,8225,2048
-118.csv,21.130705,213.1,8226,10276,2048
-118.csv,21.130705,213.1,10277,12327,2048
-118.csv,21.130705,213.1,12328,14378,2048
-118.csv,21.130705,213.1,14379,16429,2048
-118.csv,21.130705,213.1,16430,18480,2048
-119.csv,21.149841,213.0,138,2188,2048
-119.csv,21.149841,213.0,2189,4239,2048
-119.csv,21.149841,213.0,4240,6290,2048
-119.csv,21.149841,213.0,6291,8341,2048
-119.csv,21.149841,213.0,8342,10392,2048
-119.csv,21.149841,213.0,10393,12443,2048
-119.csv,21.149841,213.0,12444,14494,2048
-119.csv,21.149841,213.0,14495,16545,2048
-119.csv,21.149841,213.0,16546,18596,2048
-12.csv,19.404167,223.7,953,3689,2048
-12.csv,19.404167,223.7,3690,5740,2048
-12.csv,19.404167,223.7,5741,7791,2048
-12.csv,19.404167,223.7,7792,9842,2048
-12.csv,19.404167,223.7,9843,11893,2048
-12.csv,19.404167,223.7,11894,13944,2048
-12.csv,19.404167,223.7,13945,15995,2048
-12.csv,19.404167,223.7,15996,18046,2048
-120.csv,21.167994,212.9,249,2299,2048
-120.csv,21.167994,212.9,2300,4350,2048
-120.csv,21.167994,212.9,4351,6401,2048
-120.csv,21.167994,212.9,6402,8452,2048
-120.csv,21.167994,212.9,8453,10503,2048
-120.csv,21.167994,212.9,10504,12554,2048
-120.csv,21.167994,212.9,12555,14605,2048
-120.csv,21.167994,212.9,14606,16656,2048
-120.csv,21.167994,212.9,16657,18707,2048
-121.csv,21.184292,212.8,940,2990,2048
-121.csv,21.184292,212.8,2991,5041,2048
-121.csv,21.184292,212.8,5042,7092,2048
-121.csv,21.184292,212.8,7093,9143,2048
-121.csv,21.184292,212.8,9144,11194,2048
-121.csv,21.184292,212.8,11195,13245,2048
-121.csv,21.184292,212.8,13246,15296,2048
-121.csv,21.184292,212.8,15297,17347,2048
-121.csv,21.184292,212.8,17348,19398,2048
-122.csv,21.201345,212.7,1583,3633,2048
-122.csv,21.201345,212.7,3634,5684,2048
-122.csv,21.201345,212.7,5685,7735,2048
-122.csv,21.201345,212.7,7736,9786,2048
-122.csv,21.201345,212.7,9787,11837,2048
-122.csv,21.201345,212.7,11838,13888,2048
-122.csv,21.201345,212.7,13889,15939,2048
-122.csv,21.201345,212.7,15940,17990,2048
-123.csv,21.21888,212.6,368,2418,2048
-123.csv,21.21888,212.6,2419,4469,2048
-123.csv,21.21888,212.6,4470,6520,2048
-123.csv,21.21888,212.6,6521,8571,2048
-123.csv,21.21888,212.6,8572,10622,2048
-123.csv,21.21888,212.6,10623,12673,2048
-123.csv,21.21888,212.6,12674,14724,2048
-123.csv,21.21888,212.6,14725,16775,2048
-123.csv,21.21888,212.6,16776,18826,2048
-124.csv,21.23542,212.5,1618,3668,2048
-124.csv,21.23542,212.5,3669,5719,2048
-124.csv,21.23542,212.5,5720,7770,2048
-124.csv,21.23542,212.5,7771,9821,2048
-124.csv,21.23542,212.5,9822,11872,2048
-124.csv,21.23542,212.5,11873,13923,2048
-124.csv,21.23542,212.5,13924,15974,2048
-124.csv,21.23542,212.5,15975,18025,2048
-125.csv,21.253468,212.4,2354,4404,2048
-125.csv,21.253468,212.4,4405,6455,2048
-125.csv,21.253468,212.4,6456,8506,2048
-125.csv,21.253468,212.4,8507,10557,2048
-125.csv,21.253468,212.4,10558,12608,2048
-125.csv,21.253468,212.4,12609,14659,2048
-125.csv,21.253468,212.4,14660,16710,2048
-125.csv,21.253468,212.4,16711,18761,2048
-126.csv,21.269098,212.3,1360,3410,2048
-126.csv,21.269098,212.3,3411,5461,2048
-126.csv,21.269098,212.3,5462,7512,2048
-126.csv,21.269098,212.3,7513,9563,2048
-126.csv,21.269098,212.3,9564,11614,2048
-126.csv,21.269098,212.3,11615,13665,2048
-126.csv,21.269098,212.3,13666,15716,2048
-126.csv,21.269098,212.3,15717,17767,2048
-126.csv,21.269098,212.3,17768,19818,2048
-127.csv,21.285252,212.2,8,2058,2048
-127.csv,21.285252,212.2,2059,4109,2048
-127.csv,21.285252,212.2,4110,6160,2048
-127.csv,21.285252,212.2,6161,8211,2048
-127.csv,21.285252,212.2,8212,10262,2048
-127.csv,21.285252,212.2,10263,12313,2048
-127.csv,21.285252,212.2,12314,14364,2048
-127.csv,21.285252,212.2,14365,16415,2048
-127.csv,21.285252,212.2,16416,18466,2048
-128.csv,21.29949,212.1,1479,3529,2048
-128.csv,21.29949,212.1,3530,5580,2048
-128.csv,21.29949,212.1,5581,7631,2048
-128.csv,21.29949,212.1,7632,9682,2048
-128.csv,21.29949,212.1,9683,11733,2048
-128.csv,21.29949,212.1,11734,13784,2048
-128.csv,21.29949,212.1,13785,15835,2048
-128.csv,21.29949,212.1,15836,17886,2048
-128.csv,21.29949,212.1,17887,19937,2048
-129.csv,21.314072,212.0,925,2975,2048
-129.csv,21.314072,212.0,2976,5026,2048
-129.csv,21.314072,212.0,5027,7077,2048
-129.csv,21.314072,212.0,7078,9128,2048
-129.csv,21.314072,212.0,9129,11179,2048
-129.csv,21.314072,212.0,11180,13230,2048
-129.csv,21.314072,212.0,13231,15281,2048
-129.csv,21.314072,212.0,15282,17332,2048
-129.csv,21.314072,212.0,17333,19383,2048
-13.csv,19.450989,223.6,1530,3800,2048
-13.csv,19.450989,223.6,3801,5851,2048
-13.csv,19.450989,223.6,5852,7902,2048
-13.csv,19.450989,223.6,7903,9953,2048
-13.csv,19.450989,223.6,9954,12004,2048
-13.csv,19.450989,223.6,12005,14055,2048
-13.csv,19.450989,223.6,14056,16106,2048
-13.csv,19.450989,223.6,16107,18157,2048
-130.csv,21.365294,211.9,1611,3661,2048
-130.csv,21.365294,211.9,3662,5712,2048
-130.csv,21.365294,211.9,5713,7763,2048
-130.csv,21.365294,211.9,7764,9814,2048
-130.csv,21.365294,211.9,9815,11865,2048
-130.csv,21.365294,211.9,11866,13916,2048
-130.csv,21.365294,211.9,13917,15967,2048
-130.csv,21.365294,211.9,15968,18885,2048
-131.csv,21.344252,211.8,1429,3479,2048
-131.csv,21.344252,211.8,3480,5530,2048
-131.csv,21.344252,211.8,5531,7581,2048
-131.csv,21.344252,211.8,7582,9632,2048
-131.csv,21.344252,211.8,9633,11683,2048
-131.csv,21.344252,211.8,11684,13734,2048
-131.csv,21.344252,211.8,13735,15785,2048
-131.csv,21.344252,211.8,15786,17836,2048
-131.csv,21.344252,211.8,17837,19887,2048
-132.csv,21.36255,211.7,1205,3255,2048
-132.csv,21.36255,211.7,3256,5306,2048
-132.csv,21.36255,211.7,5307,7357,2048
-132.csv,21.36255,211.7,7358,9408,2048
-132.csv,21.36255,211.7,9409,11459,2048
-132.csv,21.36255,211.7,11460,13510,2048
-132.csv,21.36255,211.7,13511,15561,2048
-132.csv,21.36255,211.7,15562,17612,2048
-132.csv,21.36255,211.7,17613,19663,2048
-133.csv,21.377508,211.6,487,2537,2048
-133.csv,21.377508,211.6,2538,4588,2048
-133.csv,21.377508,211.6,4589,6639,2048
-133.csv,21.377508,211.6,6640,8690,2048
-133.csv,21.377508,211.6,8691,10741,2048
-133.csv,21.377508,211.6,10742,12792,2048
-133.csv,21.377508,211.6,12793,14843,2048
-133.csv,21.377508,211.6,14844,16894,2048
-133.csv,21.377508,211.6,16895,18945,2048
-134.csv,21.396215,211.5,1747,3797,2048
-134.csv,21.396215,211.5,3798,5848,2048
-134.csv,21.396215,211.5,5849,7899,2048
-134.csv,21.396215,211.5,7900,9950,2048
-134.csv,21.396215,211.5,9951,12001,2048
-134.csv,21.396215,211.5,12002,14052,2048
-134.csv,21.396215,211.5,14053,16103,2048
-134.csv,21.396215,211.5,16104,18154,2048
-135.csv,21.409554,211.4,1011,3061,2048
-135.csv,21.409554,211.4,3062,5112,2048
-135.csv,21.409554,211.4,5113,7163,2048
-135.csv,21.409554,211.4,7164,9214,2048
-135.csv,21.409554,211.4,9215,11265,2048
-135.csv,21.409554,211.4,11266,13316,2048
-135.csv,21.409554,211.4,13317,15367,2048
-135.csv,21.409554,211.4,15368,17418,2048
-135.csv,21.409554,211.4,17419,19469,2048
-136.csv,21.429836,211.3,1901,3951,2048
-136.csv,21.429836,211.3,3952,6002,2048
-136.csv,21.429836,211.3,6003,8053,2048
-136.csv,21.429836,211.3,8054,10104,2048
-136.csv,21.429836,211.3,10105,12155,2048
-136.csv,21.429836,211.3,12156,14206,2048
-136.csv,21.429836,211.3,14207,16257,2048
-136.csv,21.429836,211.3,16258,18308,2048
-137.csv,21.445574,211.2,414,2464,2048
-137.csv,21.445574,211.2,2465,4515,2048
-137.csv,21.445574,211.2,4516,6566,2048
-137.csv,21.445574,211.2,6567,8617,2048
-137.csv,21.445574,211.2,8618,10668,2048
-137.csv,21.445574,211.2,10669,12719,2048
-137.csv,21.445574,211.2,12720,14770,2048
-137.csv,21.445574,211.2,14771,16821,2048
-137.csv,21.445574,211.2,16822,18872,2048
-138.csv,21.536652,211.1,2002,4052,2048
-138.csv,21.536652,211.1,4053,6103,2048
-138.csv,21.536652,211.1,6104,8154,2048
-138.csv,21.536652,211.1,8155,10205,2048
-138.csv,21.536652,211.1,10206,12231,2024
-138.csv,21.536652,211.1,12232,14282,2048
-138.csv,21.536652,211.1,14283,16333,2048
-138.csv,21.536652,211.1,16334,18384,2048
-139.csv,21.48571,211.0,2017,4067,2048
-139.csv,21.48571,211.0,4068,6118,2048
-139.csv,21.48571,211.0,6119,8169,2048
-139.csv,21.48571,211.0,8170,10220,2048
-139.csv,21.48571,211.0,10221,12271,2048
-139.csv,21.48571,211.0,12272,14322,2048
-139.csv,21.48571,211.0,14323,16373,2048
-139.csv,21.48571,211.0,16374,18424,2048
-14.csv,19.469069,223.5,520,2570,2048
-14.csv,19.469069,223.5,2571,4621,2048
-14.csv,19.469069,223.5,4622,6672,2048
-14.csv,19.469069,223.5,6673,8723,2048
-14.csv,19.469069,223.5,8724,10774,2048
-14.csv,19.469069,223.5,10775,12825,2048
-14.csv,19.469069,223.5,12826,14876,2048
-14.csv,19.469069,223.5,14877,16927,2048
-14.csv,19.469069,223.5,16928,18978,2048
-140.csv,21.516302,210.9,556,2606,2048
-140.csv,21.516302,210.9,2607,4657,2048
-140.csv,21.516302,210.9,4658,6854,2048
-140.csv,21.516302,210.9,6855,8905,2048
-140.csv,21.516302,210.9,8906,10956,2048
-140.csv,21.516302,210.9,10957,13007,2048
-140.csv,21.516302,210.9,13008,15058,2048
-140.csv,21.516302,210.9,15059,17109,2048
-140.csv,21.516302,210.9,17110,19160,2048
-141.csv,21.547056,210.8,1155,3205,2048
-141.csv,21.547056,210.8,3206,5256,2048
-141.csv,21.547056,210.8,5257,7307,2048
-141.csv,21.547056,210.8,7308,9319,2010
-141.csv,21.547056,210.8,9320,11370,2048
-141.csv,21.547056,210.8,11371,13421,2048
-141.csv,21.547056,210.8,13422,15472,2048
-141.csv,21.547056,210.8,15473,17523,2048
-141.csv,21.547056,210.8,17524,19574,2048
-142.csv,21.556643,210.7,562,2612,2048
-142.csv,21.556643,210.7,2613,4663,2048
-142.csv,21.556643,210.7,4664,6714,2048
-142.csv,21.556643,210.7,6715,8765,2048
-142.csv,21.556643,210.7,10202,12252,2048
-142.csv,21.556643,210.7,12253,14303,2048
-142.csv,21.556643,210.7,14304,16354,2048
-142.csv,21.556643,210.7,16355,18405,2048
-143.csv,21.565277,210.6,2000,4050,2048
-143.csv,21.565277,210.6,4051,6101,2048
-143.csv,21.565277,210.6,6102,8152,2048
-143.csv,21.565277,210.6,8153,10203,2048
-143.csv,21.565277,210.6,10204,12254,2048
-143.csv,21.565277,210.6,12255,14305,2048
-143.csv,21.565277,210.6,14306,16356,2048
-143.csv,21.565277,210.6,16357,18407,2048
-144.csv,21.585188,210.5,1250,3300,2048
-144.csv,21.585188,210.5,3301,5351,2048
-144.csv,21.585188,210.5,5352,8028,2048
-144.csv,21.585188,210.5,8029,10079,2048
-144.csv,21.585188,210.5,10080,12130,2048
-144.csv,21.585188,210.5,12131,14181,2048
-144.csv,21.585188,210.5,14182,16232,2048
-144.csv,21.585188,210.5,16233,18283,2048
-145.csv,21.599798,210.4,1478,3528,2048
-145.csv,21.599798,210.4,3529,5579,2048
-145.csv,21.599798,210.4,5580,7630,2048
-145.csv,21.599798,210.4,7631,9681,2048
-145.csv,21.599798,210.4,9682,11732,2048
-145.csv,21.599798,210.4,11733,13783,2048
-145.csv,21.599798,210.4,13784,15834,2048
-145.csv,21.599798,210.4,15835,17885,2048
-145.csv,21.599798,210.4,17886,19936,2048
-146.csv,21.617756,210.3,2083,4133,2048
-146.csv,21.617756,210.3,4134,6184,2048
-146.csv,21.617756,210.3,6185,8235,2048
-146.csv,21.617756,210.3,8236,10286,2048
-146.csv,21.617756,210.3,10287,12337,2048
-146.csv,21.617756,210.3,12338,14388,2048
-146.csv,21.617756,210.3,14389,16439,2048
-146.csv,21.617756,210.3,16440,18490,2048
-147.csv,21.643246,210.2,1000,3050,2048
-147.csv,21.643246,210.2,3051,5101,2048
-147.csv,21.643246,210.2,5102,7152,2048
-147.csv,21.643246,210.2,7153,9203,2048
-147.csv,21.643246,210.2,9204,11254,2048
-147.csv,21.643246,210.2,11255,13410,2048
-147.csv,21.643246,210.2,13411,15461,2048
-147.csv,21.643246,210.2,15462,17512,2048
-147.csv,21.643246,210.2,17513,19563,2048
-148.csv,21.651903,210.1,308,2358,2048
-148.csv,21.651903,210.1,2359,4409,2048
-148.csv,21.651903,210.1,4410,6460,2048
-148.csv,21.651903,210.1,6461,8511,2048
-148.csv,21.651903,210.1,8512,10562,2048
-148.csv,21.651903,210.1,10563,12613,2048
-148.csv,21.651903,210.1,12614,14664,2048
-148.csv,21.651903,210.1,14665,16715,2048
-148.csv,21.651903,210.1,16716,18766,2048
-149.csv,21.66738,210.0,1984,4034,2048
-149.csv,21.66738,210.0,4035,6085,2048
-149.csv,21.66738,210.0,6086,8136,2048
-149.csv,21.66738,210.0,8137,10187,2048
-149.csv,21.66738,210.0,10188,12238,2048
-149.csv,21.66738,210.0,12239,14289,2048
-149.csv,21.66738,210.0,15949,17999,2048
-15.csv,19.484686,223.4,1661,3711,2048
-15.csv,19.484686,223.4,3712,5762,2048
-15.csv,19.484686,223.4,5763,7813,2048
-15.csv,19.484686,223.4,7814,9864,2048
-15.csv,19.484686,223.4,9865,11915,2048
-15.csv,19.484686,223.4,11916,13966,2048
-15.csv,19.484686,223.4,13967,16017,2048
-15.csv,19.484686,223.4,16018,18068,2048
-150.csv,21.684069,209.9,1419,3469,2048
-150.csv,21.684069,209.9,3470,5520,2048
-150.csv,21.684069,209.9,5521,7571,2048
-150.csv,21.684069,209.9,7572,9622,2048
-150.csv,21.684069,209.9,9623,11673,2048
-150.csv,21.684069,209.9,11674,13724,2048
-150.csv,21.684069,209.9,13725,15775,2048
-150.csv,21.684069,209.9,15776,17826,2048
-150.csv,21.684069,209.9,17827,19877,2048
-151.csv,21.761576,209.8,675,2725,2048
-151.csv,21.761576,209.8,2726,4776,2048
-151.csv,21.761576,209.8,4777,6827,2048
-151.csv,21.761576,209.8,6828,8878,2048
-151.csv,21.761576,209.8,8879,10929,2048
-151.csv,21.761576,209.8,10930,12980,2048
-151.csv,21.761576,209.8,12981,15031,2048
-151.csv,21.761576,209.8,15032,17082,2048
-151.csv,21.761576,209.8,17083,19133,2048
-152.csv,21.725445,209.7,164,2214,2048
-152.csv,21.725445,209.7,2215,4265,2048
-152.csv,21.725445,209.7,4266,6316,2048
-152.csv,21.725445,209.7,6317,8367,2048
-152.csv,21.725445,209.7,9908,11958,2048
-152.csv,21.725445,209.7,11959,14009,2048
-152.csv,21.725445,209.7,14010,16060,2048
-152.csv,21.725445,209.7,16061,18111,2048
-153.csv,21.740479,209.6,1344,3394,2048
-153.csv,21.740479,209.6,3395,5445,2048
-153.csv,21.740479,209.6,5446,7751,2048
-153.csv,21.740479,209.6,7752,9802,2048
-153.csv,21.740479,209.6,9803,11853,2048
-153.csv,21.740479,209.6,11854,13904,2048
-153.csv,21.740479,209.6,13905,15955,2048
-153.csv,21.740479,209.6,15956,18006,2048
-154.csv,21.747738,209.5,1909,3959,2048
-154.csv,21.747738,209.5,3960,6010,2048
-154.csv,21.747738,209.5,6011,8061,2048
-154.csv,21.747738,209.5,8062,10112,2048
-154.csv,21.747738,209.5,10113,12163,2048
-154.csv,21.747738,209.5,12164,14214,2048
-154.csv,21.747738,209.5,14215,16265,2048
-154.csv,21.747738,209.5,16266,18316,2048
-155.csv,21.761576,209.4,675,2725,2048
-155.csv,21.761576,209.4,2726,4776,2048
-155.csv,21.761576,209.4,4777,6827,2048
-155.csv,21.761576,209.4,6828,8878,2048
-155.csv,21.761576,209.4,8879,10929,2048
-155.csv,21.761576,209.4,10930,12980,2048
-155.csv,21.761576,209.4,12981,15031,2048
-155.csv,21.761576,209.4,15032,17082,2048
-155.csv,21.761576,209.4,17083,19133,2048
-156.csv,21.791878,209.3,24,2261,2048
-156.csv,21.791878,209.3,2262,4312,2048
-156.csv,21.791878,209.3,4313,6363,2048
-156.csv,21.791878,209.3,6364,8414,2048
-156.csv,21.791878,209.3,8415,10465,2048
-156.csv,21.791878,209.3,10466,12516,2048
-156.csv,21.791878,209.3,12517,14567,2048
-156.csv,21.791878,209.3,14568,16618,2048
-156.csv,21.791878,209.3,16619,18669,2048
-157.csv,21.80642,209.2,655,2705,2048
-157.csv,21.80642,209.2,2706,4756,2048
-157.csv,21.80642,209.2,4757,6807,2048
-157.csv,21.80642,209.2,6808,8858,2048
-157.csv,21.80642,209.2,8859,10909,2048
-157.csv,21.80642,209.2,10910,12960,2048
-157.csv,21.80642,209.2,12961,15198,2048
-157.csv,21.80642,209.2,15199,17249,2048
-157.csv,21.80642,209.2,17250,19300,2048
-158.csv,21.818872,209.1,1762,3812,2048
-158.csv,21.818872,209.1,3813,5863,2048
-158.csv,21.818872,209.1,5864,7914,2048
-158.csv,21.818872,209.1,7915,9965,2048
-158.csv,21.818872,209.1,11912,13962,2048
-158.csv,21.818872,209.1,13963,16013,2048
-158.csv,21.818872,209.1,16014,18064,2048
-159.csv,21.826595,209.0,101,2151,2048
-159.csv,21.826595,209.0,2152,4202,2048
-159.csv,21.826595,209.0,4203,6253,2048
-159.csv,21.826595,209.0,6254,8304,2048
-159.csv,21.826595,209.0,8305,10355,2048
-159.csv,21.826595,209.0,10356,12406,2048
-159.csv,21.826595,209.0,12407,14457,2048
-159.csv,21.826595,209.0,14458,16508,2048
-159.csv,21.826595,209.0,16509,18559,2048
-16.csv,19.497555,223.3,699,2749,2048
-16.csv,19.497555,223.3,2750,4800,2048
-16.csv,19.497555,223.3,4801,6851,2048
-16.csv,19.497555,223.3,6852,8902,2048
-16.csv,19.497555,223.3,8903,10953,2048
-16.csv,19.497555,223.3,10954,13034,2048
